4.2;3.3;41;43;39;23;1;0;
3.7;4.1;30;39;30;33;0;1;
4.3;3.8;65;47;42;25;1;0;
3.9;3.7;46;39;28;25;1;0;
3.2;3.1;43;47;21;25;1;0;
4.1;4.7;45;43;37;28;1;0;
2.9;4.7;43;49;20;29;0;1;
3.6;4.4;43;48;25;38;0;1;
3.9;3.3;43;50;24;24;0;1;
3.5;3.6;44;46;22;29;1;0;
5.7;3.9;49;56;35;40;0;1;
3.9;4.2;54;51;33;23;1;0;
4.3;3.9;41;49;41;28;1;0;
4.3;3.2;39;46;28;20;1;0;
4.1;4.3;51;39;21;42;0;1;
3.8;3.9;56;38;38;34;0;1;
5.9;3.4;49;46;36;28;0;1;
3.1;3.4;51;45;26;23;1;0;
4.2;4.2;47;42;38;26;1;0;
4.7;3.2;50;34;30;24;1;0;
3.3;3.1;50;34;20;22;1;0;
4.2;4.8;39;41;28;31;1;0;
3.3;4.3;47;36;21;40;0;1;
6.1;3.3;45;49;36;26;0;1;